"where","source","written","derived","ok"
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware-CF coverage_taylor","0.942","0.942",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware-CF coverage_jack","0.940","0.940",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware-CF coverage_taylor","0.930","0.930",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware-CF coverage_jack","0.940","0.940",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware coverage_taylor","0.896","0.896",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware coverage_taylor","0.898","0.898",TRUE
"appendix.Rmd WebF jack","R11 csv taylor: standard/L3/IPW-svyglm coverage","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv taylor: R1/L3/IPW-svyglm coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L1_param d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L2_smooth d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3_adaptive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L4_aggressive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L1_param d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L2_smooth d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3_adaptive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L4_aggressive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L1_param d_FA_CF","0.013","0.013",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L2_smooth d_FA_CF","0.003","0.003",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3_adaptive d_FA_CF","0.064","0.064",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L4_aggressive d_FA_CF","0.157","0.157",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L1_param d_FA_CF","0.020","0.020",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L2_smooth d_FA_CF","0.018","0.018",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3_adaptive d_FA_CF","0.041","0.041",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L4_aggressive d_FA_CF","0.278","0.279",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3 b_FA","0.090","0.090",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3 b_CF","0.026","0.026",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3 b_CF_wOOF","0.025","0.025",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3 b_FA","0.051","0.051",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3 b_CF","0.010","0.010",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3 b_CF_wOOF","0.008","0.008",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3 d_CFwOOF_CF (wOOF-to-CF gap)","0.001","0.001",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3 d_CFwOOF_FA (wOOF-to-single-fit gap)","0.065","0.065",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3 d_CFwOOF_CF (wOOF-to-CF gap)","0.002","0.002",TRUE
"appendix.Rmd WebF-R05","R05 csv: cfwoof_closer_to == CF in all 6 converged cells","CF (all)","CF x6",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L1 b_CF_wOOF is NA (non-convergence)","--- (NA)",NA,TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L1 b_CF_wOOF is NA (non-convergence)","--- (NA)",NA,TRUE
"appendix.Rmd WebF-R05","R05 summary: E3/L3 Fully-Aware-CF-wOOF b_split_sd","0.0066","0.0066",TRUE
"appendix.Rmd WebF-R05","R05 summary: E3/L3 Fully-Aware-CF b_split_sd","0.0052","0.0052",TRUE
"appendix.Rmd WebF-R05","R05 summary: E4/L3 Fully-Aware-CF-wOOF b_split_sd","0.0092","0.0092",TRUE
"appendix.Rmd WebF-R05","R05 summary: E4/L3 Fully-Aware-CF b_split_sd","0.0050","0.0050",TRUE
"appendix.Rmd WebF-R05","R05 summary: wOOF b_split_sd > CF in 5/6 cells (exception E4/L4_aggressive)","5; E4/L4_aggressive","5; E4/L4_aggressive",TRUE
"appendix.Rmd WebF-R05","R05 diagnostics: harmonized floor fa_gbound == 0.05 (all cells)","0.05","0.05",TRUE
"appendix.Rmd WebF-R05","R05 diagnostics: OOF floor g_oof_bound == 0.05 (all cells)","0.05","0.05",TRUE
"Table2/WebF-mi/Sec6","R06 MI: E1/Fully-Aware-CF b","0.036","0.036",TRUE
"Table2/WebF-mi","R06 MI: E1/Fully-Aware-CF lcl","0.020","0.020",TRUE
"Table2/WebF-mi","R06 MI: E1/Fully-Aware-CF ucl","0.051","0.051",TRUE
"Table2/WebF-mi/Sec6","R06 MI: E2/Fully-Aware-CF b","0.087","0.087",TRUE
"Table2/WebF-mi","R06 MI: E2/Fully-Aware-CF lcl","0.070","0.070",TRUE
"Table2/WebF-mi","R06 MI: E2/Fully-Aware-CF ucl","0.103","0.103",TRUE
"Table2/WebF-mi/Sec6","R06 MI: E3/Fully-Aware-CF b","0.032","0.032",TRUE
"Table2/WebF-mi","R06 MI: E3/Fully-Aware-CF lcl","-0.010","-0.010",TRUE
"Table2/WebF-mi","R06 MI: E3/Fully-Aware-CF ucl","0.074","0.074",TRUE
"Table2/WebF-mi/Sec6","R06 MI: E4/Fully-Aware-CF b","0.014","0.014",TRUE
"Table2/WebF-mi","R06 MI: E4/Fully-Aware-CF lcl","-0.033","-0.033",TRUE
"Table2/WebF-mi","R06 MI: E4/Fully-Aware-CF ucl","0.061","0.061",TRUE
"Table2/Sec6","R06 MI: E1/Non-Aware b","0.035","0.035",TRUE
"Table2","R06 MI: E1/Non-Aware lcl","0.024","0.024",TRUE
"Table2","R06 MI: E1/Non-Aware ucl","0.047","0.047",TRUE
"Table2/Sec6","R06 MI: E2/Non-Aware b","0.071","0.071",TRUE
"Table2","R06 MI: E2/Non-Aware lcl","0.059","0.059",TRUE
"Table2","R06 MI: E2/Non-Aware ucl","0.083","0.083",TRUE
"Table2/Sec6","R06 MI: E3/Non-Aware b","0.072","0.072",TRUE
"Table2","R06 MI: E3/Non-Aware lcl","0.043","0.042",TRUE
"Table2","R06 MI: E3/Non-Aware ucl","0.103","0.103",TRUE
